Titel,Interpret,Album,Jahr,Genre
Deceiver of the Gods,Amon Amarth,Deceiver of the Gods,2013,Melodic Death Metal
Schrei nach Liebe, Die Ärzte, Bäst Of,2006,Punk Rock
Paralyzed,Caliban,Gravity,2016,Metalcore
Hells Bells,AC/DC,Back in Black,1980,Hard Rock
Affengeld,KMPFSPRT,Das ist doch kein Name für 'ne Band,2012,Punk
Du hast,Rammstein,Sehnsucht,1997,Metal
Angel of Death,Slayer,Reign in Blood,2002,Thrash Metal
They shall not Pass,Heaven Shall Burn,Wanderer,2016,Deathcore
Battery,Metallica,Master Of Puppets,1986,Thrash Metal
Revolution,Betontod,Revolution,2017,Punk